sex,kanji,hiragana,pageid,birth_year,blood_type,height,weight,occupation,education,birth_place,birth_date,nationality
female,有村 南海,ありむら みなみ,4759835,2008,,,,,,,,
female,五百城 茉央,いおき まお,4533458,2005,,,,,,,,
female,新姫 もも,あらき もも,4481172,1999,,,,,,,,
female,有澤 一華,ありさわ いちか,4410613,2003,O型,,,歌手、ヴァイオリニスト,,{{JPN}} 大阪府{{R|arisawa-profile}},{{生年月日と年齢|2003|12|23}}{{Cite web|和書|url=https://www.helloproject.com/juicejuice/profile/ichika_arisawa/|title=Juice=Juice 有澤一華プロフィール|work=ハロー!プロジェクト オフィシャルサイト|date=2021-07-07|accessdate=2021-07-07}},
female,安 里唯,あんり ゆい,4283647,1996,,,,,,,,
female,杏 ジュリア,あん ジュリア,4147596,2004,,,,,,,,
female,荒井 優希,あらい ゆき,4061214,1998,,167cm,,,,京都府,{{生年月日と年齢|1998|5|7}},
female,生稲 晃子,いくいな あきこ,42675,1968,,,,,,,,
female,石川 さゆり,いしかわ さゆり,116609,1958,A型,,,歌手{{Cite web|和書|url=https://www.vip-times.co.jp/?talent_id=W93-0289|title=石川 さゆり|publisher=日本タレント名鑑|date= |accessdate=2025-01-27}}、女優,堀越高等学校卒業,{{JPN}}・熊本県飽託郡飽田村（後の飽田町、現・熊本市南区）,{{生年月日と年齢|1958|1|30}}「[https://dl.ndl.go.jp/pid/10339867/1/68 映画情報 38(5)(249);5月号]」国立国会図書館デジタルコレクション,
female,石川 秀美,いしかわ ひでみ,241421,1966,,,,元歌手、元女優、アイドル,明治大学付属中野高等学校定時制卒業,{{jpn}}・愛知県瀬戸市,{{生年月日と年齢|1966|7|13}},
female,石川 愛理,いしかわ あいり,410833,1984,,,,,,,,
female,石川 ひとみ,いしかわ ひとみ,420730,1959,,,,歌手 、アイドル,名古屋短期大学付属高等学校（現：桜花学園高等学校）卒業,{{JPN}} 愛知県海部郡美和町（現：あま市）名古屋市西区生まれ,{{生年月日と年齢|1959|9|20}},
female,池田 裕子,いけだ ゆうこ,499533,1987,,,,,,,,
female,石川 エリ,いしかわ えり,525852,1987,,,,,,,,
female,石川 梨華,いしかわ りか,1261137,1985,A型,,,歌手,,{{JPN}} 神奈川県横須賀市,{{生年月日と年齢|1985|1|19}},
female,石毛 礼子,いしげ れいこ,1559237,1960,,,,歌手,,{{JPN}}・兵庫県宝塚市,{{生年月日と年齢|1960|2|9}},
female,池田 光咲,いけだ みさき,1577556,1990,,,,,,,,
female,石神 澪,いしがみ れい,2122181,1997,,,,,,,,
female,生田 衣梨奈,いくた えりな,2267423,1997,A型,,,歌手,,{{JPN}} 福岡県福岡市{{Cite web|和書|author=生田衣梨奈 |date=2022-05-06 |url=https://ameblo.jp/morningmusume-9ki/entry-12741367764.html |title=明日。生田衣梨奈 |work=モーニング娘。'22 Q期オフィシャルブログ |accessdate=2023-01-11}},{{生年月日と年齢|1997|7|7}},
female,生駒 里奈,いこま りな,2590857,1995,,,,,,,,
female,池田 ひろ子,いけだ ひろこ,2677574,1957,,,,元アイドル歌手,洗足学園第一高等学校,{{JPN}} 東京都練馬区,{{生年月日と年齢|1957|12|2}},
female,生田 絵梨花,いくた えりか,2733060,1997,,,,,,,,
female,石黒 彩,いしぐろ あや,2787093,1978,A型,,,歌手,北海道女子短期大学中退,{{JPN}} 北海道札幌市中央区,{{生年月日と年齢|1978|5|12}},
female,石川 夏海,いしかわ なつみ,3696294,1996,,,,,,,,
female,井坂 仁美,いさか ひとみ,3726756,1992,,,,,,,,
female,池松 愛理,いけまつ あいり,3933198,1996,,,,,,,,
female,石井 泉羽,いしい みはね,4971939,2008,O型{{R|profile}},,,歌手,,{{JPN}} 神奈川県{{R|profile}},{{生年月日と年齢|2008|10|20}}{{Cite web|和書|url=https://www.helloproject.com/tsubakifactory/profile/mihane_ishii/|title=つばきファクトリー 石井泉羽プロフィール|work=ハロー!プロジェクト オフィシャルサイト|date=2025-01-06|accessdate=2025-01-06}},
female,石川野 乃花,いしかわ ののか,4856481,,,,,,,,,
female,石井 優希,いしい ゆうき,4777326,2005,,,,,,,,
female,池田 メルダ,いけだ メルダ,4650300,2000,,,,,,,,
female,石上 まひな,いしがみ まひな,4641428,2000,,,,,,,,
female,石井 香織,いしい かおり,4629907,1990,,,,,,,,
female,池田 瑛紗,いけだ てれさ,4559198,2002,,,,,,,,
female,石栗 奏美,いしぐり かなみ,4511731,2004,A型,,,歌手,,{{JPN}} 北海道,{{生年月日と年齢|2004|4|20}},
female,石川 涼楓,いしかわ すずか,4467488,2002,,,,,,,,{{JPN}}
female,石上 ひなの,いしがみ ひなの,4240536,2005,,,,,,,,
female,井川 なつ,いがわ なつ,4201757,,,,,,,,,
female,池山 智瑛,いけやま ちあき,4074951,1992,,,,,,,,
female,石井 蘭,いしい らん,4009898,2004,,,,,,,,
female,石川 古都,いしかわ こと,3989460,2003,,,,,,,,
female,新谷 姫加,あらや ひめか,3699509,1998,,,,,,,,
female,新木 さくら,あらき さくら,3662806,1996,,,,,,,,
female,有沢 澪風,ありさわ みふう,3601091,2000,,,,,,,,
female,川口 順子,かわぐち よりこ,47303,1941,,,,,,,,
female,金子 みつ,かねこ みつ,308273,1914,,,,,,,,
female,片山 さつき,かたやま さつき,344603,1959,,,,,,,,
female,大泉 博子,おおいずみ ひろこ,567484,1950,,,,,,,,
female,赤松 良子,あかまつ りょうこ,596533,1929,,,,,,,,
female,金子 優子,かねこ ゆうこ,1199819,1955,,,,,,,,
female,太田 房江,おおた ふさえ,1449178,1951,,,,,,,,
female,荒木 由季子,あらき ゆきこ,1657835,1960,,,,,,,,
female,岩田 喜美枝,いわた きみえ,1736259,1947,,,,,,,,
female,川橋 幸子,かわはし ゆきこ,1884668,1938,,,,,,,,
female,伊藤 澄子,いとう すみこ,2428959,,,,,,,,,
female,伊岐 典子,いき のりこ,3021607,1956,,,,厚生労働官僚、外交官,東京大学法学部卒業,{{JPN}} 福岡県,{{生年月日と年齢|1956|03|21}},
female,上西 充子,うえにし みつこ,3316730,1965,,,,,,,,
female,石井 菜穂子,いしい なおこ,3327826,1959,,,,,,,,
female,岡村 和美,おかむら かずみ,3764096,1957,,,,,,,,
female,畝本 直美,うねもと なおみ,3880805,1962,,,,検察官、法務官僚,中央大学法学部,{{Flagicon|JPN}} 千葉県千葉市,{{生年月日と年齢|1962|7|9}},
female,大羽 綾子,おおば あやこ,3883439,1912,,,,,,,,
female,新井 ゆたか,あらい ゆたか,3906701,1962,,,,,,,,
female,伊藤 明子,いとう あきこ,3906717,1962,,,,,,,,
female,河村 潤子,かわむら じゅんこ,3910947,,,,,,,,,
female,高橋 はるみ,たかはし はるみ,210122,1954,,,,,,,,
female,高橋 久子,たかはし ひさこ,403125,1927,,,,,,,,
female,五條 瑛,ごじょう あきら,427936,,,,,,,,,
female,久保田 真苗,くぼた まなえ,609143,1924,,,,,,,,
female,田中 寿美子,たなか すみこ,613753,1909,,,,,,,,
female,小泉 清子,こいずみ きよこ,855251,1918,,,,和服研究家、実業家,東京府立第一高等女学校,{{Flagicon|JPN1889}} 日本・東京府東京市下谷区{{Cite web|和書|url=https://www.suzunoya.com/corp/kiyokokoizumi/index.html |title=小泉清子 |website=鈴乃屋 |accessdate=2026-03-08 }}（現・東京都台東区）,{{生年月日と年齢|1918|5|7|no}},
female,佐島 直子,さじま なおこ,1055915,1955,,,,,,,,
female,坂本 由紀子,さかもと ゆきこ,1139539,1949,,,,,,,,
female,木戸 典佳,きど のりか,1361873,1967,,,,,,,,
female,古旗 照美,こばた てるみ,1897904,1968,,,,しょくスポーツ代表取締役,日本女子大学家政学部卒業,{{Flagicon|JPN}} 東京都,1968年,
female,鈴木 陽子,すずき ようこ,2251272,1940,,,,,,,,
female,高橋 展子,たかはし のぶこ,2343317,1916,,,,官僚、評論家,東京女子大学卒業早稲田大学卒業,{{CHN1912}}・長春県,1916年4月19日,{{JPN}}
female,佐藤 ギン子,さとう ギンこ,2848217,1934,,,,,,,,
female,武石 恵美子,たけいし えみこ,3601452,1960,,,,,,,,
female,国光 文乃,くにみつ あやの,3694819,1979,,,,,,,,
female,田中 俊恵,たなか としえ,3864508,1965,,,,,,,,
female,須賀 千鶴,すが ちづる,3879489,1980,,,,,,,,
female,定塚 由美子,じょうづか ゆみこ,3915282,1962,,,,,,,,
female,岩見 美鈴,いわみ みすず,5160043,,,,,,,,,
female,井上 夏穂里,いのうえ かおり,5037226,,,,,,,,,
female,門 寛子,かど ひろこ,4951844,1980,,,,,,,,
female,大川 亜沙奈,おおかわ あさな,4891182,,,,,,,,,
female,有賀 美智子,ありが みちこ,4820113,1907,,,,,,,,
female,岡村 直子,おかむら なおこ,4807946,1964,,,,,,,,
female,塩見 みづ枝,しおみ みづえ,5116270,1968,,,,,,,,
female,津脇 慈子,つわき よしこ,5108981,,,,,,,,,
female,清水 久子,しみず ひさこ,4967811,1974,,,,,,,,
female,田中 佐智子,たなか さちこ,4864471,1968,,,,,,,,
female,工藤 陽代,くどう きよ,4852172,1972,,,,,,,,
female,柴田 紀子,しばた のりこ,4712291,1971,,,,,,,,
female,田中 真実,たなか まみ,4683869,,,,,,,,,
female,佐久間 佳枝,さくま かえ,4656471,1963,,,,,,,,
female,末富 理栄,すえとみ りえ,4646205,,,,,,,,,
female,玉井 優子,たまい ゆうこ,4625988,,,,,,,,,
female,古宮 久枝,こみや ひさえ,4611126,1970,,,,,,,,
female,澤田 多実子,さわだ たみこ,4572452,1985,,,,,,,,
female,清水 彩子,しみず あやこ,4555318,,,,,,,,,
female,荒木 夏実,あらき なつみ,4532681,,,,,,,,,
female,高橋 実枝,たかはし みえ,4515435,,,,,,,,,
female,竹内 舞子,たけうち まいこ,4495995,,,,,,,,,
female,佐野 美波,さの みなみ,4491699,,,,,,,,,
female,佐野 裕子,さの ゆうこ,4483458,1970,,,,,,,,
female,谷野 せつ,たにの せつ,4404941,1903,,,,,,,,
female,椿 百合子,つばき ゆりこ,4403142,1960,,,,,,,,
female,栗田 奈央子,くりた なおこ,4085760,1967,,,,,,,,
female,高崎 節子,たかさき せつこ,4040504,1910,,,,小説家、教師、労働省官僚,,東京府小石川区,{{生年月日と年齢|1910|1|7|no}},
female,杉内 由美子,すぎうち ゆみこ,3991439,1969,,,,,,,,
female,北窓 隆子,きたまど たかこ,3981066,,,,,,,,,
female,金山 藍子,かねやま あいこ,4631987,1978,,,,,,,,
female,川畑 充代,かわばた みつよ,4621770,,,,,,,,,
female,浅尾 久美子,あさお くみこ,4604431,1976,,,,,,,,
female,小笠原 和美,おがさわら かずみ,4557355,1971,,,,,,,,
female,安藤 よし子,あんどう よしこ,4538866,1959,,,,,,,,
female,川口 真友美,かわぐち まゆみ,4499690,1978,,,,,,,,
female,柏原 恭子,かしわばら きょうこ,4484677,,,,,,,,,
female,北井 久美子,きたい くみこ,4384231,1952,,,,弁護士,東京大学法学部,{{JPN}}・京都府{{Cite web|和書|url=http://shiga.jpn.org/cgi-bin/data-dir/press/全滋連14.pdf|title=全滋連 No.14|accessdate=2021-05-27|publisher=全国滋賀県人会連合会}},{{生年月日と年齢|1952|10|29}},{{JPN}}
female,麻田 千穂子,あさだ ちほこ,4189867,1961,,,,,,,,
female,浅川 京子,あさかわ きょうこ,4188130,1962,,,,,,,,
female,石井 淳子,いしい あつこ,4085126,1957,,,,,,,,
female,大坪 寛子,おおつぼ ひろこ,4047007,1967,,,,厚生労働技官,東京慈恵会医科大学医学部卒業,,,{{JPN}}
female,大熊 智美,おおくま ともみ,4029104,,,,,,,,,
female,池田 千絵子,いけだ ちえこ,4005237,1964,,,,,,,,
female,加藤 さゆり,かとう さゆり,3983502,,,,,,,,,
female,大山 真未,おおやま まみ,3965107,,,,,,,,,
female,青山 彩子,あおやま あやこ,3925166,1969,,,,,,,,
female,飯田 らうら,いいだ らうら,3250434,1998,,,,,,,,
female,有村 莉彩,ありむら りさ,3067844,1999,,,,,,,,
female,杏野 なつ,あんの なつ,2833512,1997,,,,,,,,
female,奥 幸代,おく さちよ,2543852,,,,,ヴァイオリニストヴィオリスト,大阪音楽大学短期大学部器楽専攻,{{JPN}} 大阪府堺市,,
female,四方 幸子,しかた ゆきこ,223083,1958,,,,,,,,
female,草原 真知子,くさはら まちこ,396592,1948,,,,,,,,
female,原田 マハ,はらだ まは,746986,1962,,,,小説家、キュレーター、カルチャーライター,関西学院大学文学部日本文学科卒業早稲田大学第二文学部卒業,{{JPN}} 東京都小平市,{{生年月日と年齢|1962|7|14}},
female,増山 麗奈,ますやま れな,856498,1976,,,,画家、映画監督、ジャーナリスト芸術家、パフォーマー、作家、市民活動家,東京芸術大学中退,千葉県千葉市,{{Birth date and age|1976|12|25}},
female,深井 晃子,ふかい あきこ,1172600,1943,,,,教育者・服装史研究者,お茶の水女子大学,{{JPN}}・岡山県高梁市,{{生年月日と年齢|1943|9|10}},{{JPN}}
female,玉蟲 敏子,たまむし さとこ,1194755,1955,,,,,,,,
female,竹内 万里子,たけうち まりこ,1700119,1972,,,,,,,,
female,長谷川 祐子,はせがわ ゆうこ,2019102,1955,,,,キュレーター,京都大学法学部  東京藝術大学美術学部芸術学科,,,{{JPN}}
female,笠原 美智子,かさはら みちこ,2019104,1957,,,,,,,,
female,林 洋子,はやし ようこ,2350540,1965,,,,,,,,
female,白山 眞理,しらやま まり,2496215,1958,,,,,,,,
female,桝屋 友子,ますや ともこ,2948309,1961,,,,,東京大学、ニューヨーク大学,{{JPN}}長崎県,{{birth date|1961|9|}},
female,原田 ちあき,はらだ ちあき,3195659,1990,,,,イラストレーター、 漫画家,,,,
female,河瀬 鮎美,かわせ あゆみ,3371201,1988,,,,,,,,
female,野中 雅代,のなか まさよ,3714693,,,,,,,,,
female,片岡 真実,かたおか まみ,3768815,1965,,,,,,,,
female,飯田 志保子,いいだ しほこ,3768888,1975,,,,,,,,
female,大野 かおる,おおの かおる,2306194,,,,,,,,,
female,真田 志ん,さなだ しん,2130137,1883,,,,,,,,
female,川田 靖子,かわだ やすこ,3368618,,,,,,,,,
female,高柳 和江,たかやなぎ かずえ,3266569,,,,,,,,,
female,安部 若菜,あべ わかな,4307899,2001,,,,,,,,
female,茜紬 うた,あづみ うた,4297527,1996,,,,,,,,
female,朝倉 みずほ,あさくら みずほ,3914401,1997,,,,,,,,
female,阿部 かれん,あべ かれん,3846486,2000,,,,,,,,
female,朝比奈 祐未,あさひな ゆみ,3604240,1991,,,,,,,,
female,浅野 杏奈,あさの あんな,3577020,2000,,,,,,,,
female,朝日 奈藍,あさひな あい,3560104,1989,,,,,,,,
female,関 直子,せき なおこ,5163270,,,,,,,,,
female,後藤 桜子,ごとう おうこ,5158269,1986,,,,,,,,
female,相馬 千秋,そうま ちあき,5095541,,,,,,,,,
female,藤田 えりか,ふじた えりか,4945758,1993,,,,,,,,
female,今井 みはる,いまい みはる,4924445,1982,,,,,,,,
female,西川 美穂子,にしかわ みほこ,4918932,1976,,,,,,,,
female,池田 祐子,いけだ ゆうこ,4915074,,,,,,,,,
female,椿 玲子,つばき れいこ,4898802,,,,,,,,,
female,木村 絵理子,きむら えりこ,4862643,,,,,,,,,
female,神山 亮子,かみやま りょうこ,4861675,1971,,,,,,,,
female,金澤 韻,かなざわ こだま,4835309,1973,,,,キュレーター,上智大学国文学科近代文学専攻東京芸術大学大学院美術研究科英国王立芸術大学大学院大学（RCA）現代美術キュレーティングコース,,1973年,{{JPN}}
female,後藤 文子,ごとう ふみこ,4833907,,,,,,,,,
female,高橋 瑞木,たかはし みずき,4593029,1973,,,,,,,,
female,竹 久侑,たけひさ ゆう,4593026,1976,,,,,,,,
female,崔 敬華,ちぇ きょんふぁ,4592228,1977,,,,,,,,
female,能勢 陽子,のせ ようこ,4583411,,,,,,,,,
female,大内 曜,おおうち ひかる,4532686,1980,,,,,,,,
female,松井 みどり,まつい みどり,4532672,,,,,,,,,
female,畑井 恵,はたい めぐみ,4532667,1983,,,,,,,,
female,丹羽 晴美,にわ はるみ,4532576,1966,,,,,,,,
female,楠本 亜紀,くすもと あき,4482672,1972,,,,,,,,
female,蔵屋 美香,くらや みか,4130687,1966,,,,キュレーター,女子美術大学千葉大学大学院,千葉県,1966年,{{JPN}}
female,逢坂 恵理子,おおさか えりこ,4040581,1950,,,,キュレーター,,東京都,1950年,{{JPN}}
female,阿部 定,あべ さだ,99636,1905,,,,芸妓、娼妓,,,,
female,吉本 笑子,よしもと しょうこ,128733,1959,,,,,,,,
female,磯田 多佳,いそだ たか,164419,1879,,,,,,,,
female,渡辺 敦子,わたなべ あつこ,801070,1964,,,,ベーシスト東京スクールオブミュージック専門学校・大阪スクールオブミュージック専門学校校長,,{{JPN}}・熊本県,{{生年月日と年齢|1964|10|26}},
female,岩崎 究香,いわさき みねこ,1050114,1949,,,,,,,,
female,安藤 孝子,あんどう たかこ,1103656,1937,,,,,,,,
female,上田 ちか子,うえだ ちかこ,1343436,,,,,,,,不明,
female,中野 竹子,なかの たけこ,1718760,,,,,,,武蔵国 江戸,嘉永3年3月（1850年4月） または弘化4年（1847年）,20px 会津藩
female,光田 由里,みつだ ゆり,1895600,1962,,,,,,,,
female,南地 よね,なんじ よね,1945264,1890,,,,,,,,
female,遠藤 知恵子,えんどう ちえこ,1988002,1940,,,,,,,,
female,岡本 美鈴,おかもと みすず,2093936,1973,,158cm,,,,東京都,{{生年月日と年齢|1973|1|30}},{{JPN}}
female,城井 文,しろい あや,2115796,1968,,,,,,,,
female,木下 かおり,きのした かおり,2141847,1973,,,,,,,,
female,飯野 糸穂子,いいの しほこ,2199111,,,,,,,,,
female,泉 すず,いずみ すず,2265344,1881,,,,,,,,
female,藤田 たき,ふじた たき,2435276,1898,,,,婦人運動家、教育者,女子英学塾ブリンマー大学,愛知県名古屋市橦木町（後の東区）,1898年12月23日,{{JPN}}
female,新垣 未希,あらがき みき,2480780,1983,,,,囲碁インストラクター,早稲田大学,{{jpn}} 東京都,{{Birth year and age|1983}},
female,川上 貞奴,かわかみ さだやっこ,204177,,,,,,,,,
female,松本 佐多,まつもと さだ,240931,1873,,,,,,,,
female,木戸 松子,きど まつこ,297852,1843,,,,,,,,
female,斎藤 きち,さいとう きち,298015,1841,,,,洗濯婦「老母きは並にきちは、差し向き渡世も御座なく、上方筋廻船・上下当港滞船の船頭ども衣類、そのほか洗濯等いたし、今日営み居り候…」『安政四巳年七月十日 嘆願書』（吉田常吉『唐人お吉』1983年、85頁。）、酌婦下田奉行の上申書に「内実船方等酒の相手に雇われ罷り出で候女」（『堀田正睦外国掛中書類』『合原猪三郎筆記』）とある（吉田常吉『唐人お吉』1983年、116-117頁。）。、芸妓、髪結、小料理屋店主,,{{JPN}} 伊豆国賀茂郡下田坂下町（現在の静岡県下田市）,1841年（天保12年）,
female,中村 喜春,なかむら きはる,452867,1913,,,,,,,,
female,武原 はん,たけはら はん,856221,1903,,,,,,,,
female,花井 お梅,はない おうめ,972133,1863,,,,,,,,
female,中西 君尾,なかにし きみお,1318570,1844,,,,,,,,
female,花柳 寿美,はなやぎ すみ,1444698,1898,,,,,,,,
female,藤本 竹葉,ふじもと たけは,1484408,,,,,,,,,
female,冨高 国子,とみたか くにこ,5082025,1956,,,,,,,,
female,細田 眞由美,ほそだ まゆみ,4968882,1959,,,,うらわ美術館館長 兵庫教育大学客員教授東京大学公共政策大学院講師,,福井県,{{生年月日と年齢|1959|8|21}},{{JPN}}
female,赤澤 ナカ,あかざわ ナカ,4904740,1871,,,,,,{{JPN}} 新潟県蒲原郡長場村,1871年11月,
female,や まだりよこ,やまだ りよこ,4851074,,,,,,,,,
female,照川 由美子,てるかわ ゆみこ,4660158,1952,,,,,,,,
female,松本 キミ子,まつもと きみこ,4566166,1940,,,,,東京藝術大学彫刻科,北海道雨竜郡沼田町,{{生年月日と年齢|1940|05|04|死去}},{{jpn}}
female,丸山 美佳,まるやま みか,4538164,,,,,,,,,
female,藪前 知子,やぶまえ ともこ,4531778,1974,,,,,,,,
female,土肥 モト,どひ モト,4291493,1878,,,,,,,,
female,籠池 諄子,かごいけ じゅんこ,4099807,1956,,,,社会福祉法人肇國舎代表、高等森友学園保育園副園長塚本幼稚園副園長,金蘭会高等学校甲子園短期大学,{{Flagicon|JPN}} 大阪府,{{生年月日と年齢|1956|11|23}},{{JPN}}
female,和田 菜穂子,わだ なほこ,4019393,,,,,,青山学院大学慶應義塾大学大学院,{{JPN}} 新潟県,,
female,安達 ツギ,あだち ツギ,4000755,1874,,,,,,,,
female,宮里 暁美,みやさと あけみ,3941808,,,,,保育学,お茶の水女子大学家政学部卒業,,,{{JPN}}
female,篠原 いくよ,しのはら いくよ,3837707,,,,,教育学者,大阪教育大学大学院修士課程卒業,{{JPN}}・大阪,,
female,山本 悦子,やまもと えつこ,3701844,1961,,,,作家,,{{JPN}}・愛知県半田市,{{生年月日と年齢|1961|5|17}},{{JPN}}
female,前田 美子,まえだ よしこ,3630729,,,,,,,,,
female,伊藤 梅子,いとう うめこ,3552713,1848,,,,,,,,
female,新井 豆爾,あらい まめじ,3202945,1954,,,,,,,,
female,安岡 定子,やすおか さだこ,3117361,1960,,,,,,,,
female,志道 不二子,しどう ふじこ,3042084,1962,,,,,,,,
female,板垣 清女,いたがき せいじょ,2655973,1856,,,,,,,,
female,一龍斎 貞友,いちりゅうさい ていゆう,100509,1958,,,,,,,,
female,住田 裕子,すみた ひろこ,202353,1951,,,,弁護士,東京大学法学部第1類,{{JPN}} 兵庫県 加古川市,{{生年月日と年齢|1951|6|21}}{{Cite web|和書|url=http://hiroko-sumita.com/introduction.htm |title=Profile・プロフィール |work=Hiroko Sumita & Partners |publisher=Hiroko Sumita & Partners |accessdate=2019-04-13}},
female,桜花昇 ぼる,おうか のぼる,846566,,,,,,,,,
female,内海 英華,うつみ えいか,866812,1960,,,,,,,,
female,門上 千恵子,かどがみ ちえこ,1036261,1914,,,,,,,,
female,一龍斎 春水,いちりゅうさい はるみ,1038961,,,,,,,,,
female,三宅小 まめ,みやけ こまめ,1103663,1910,,,,,,,,
female,夜嵐 おきぬ,はらだ きぬ,1208326,1844,,,,,,,,
female,神田 茜,かんだ あかね,1266582,1965,,,,,,,,
female,菅野 志桜里,かんの しおり,1294766,1974,,,,弁護士,東京大学法学部慶應義塾大学大学院法学研究科,{{JPN}} 宮城県仙台市,{{生年月日と年齢|1974|7|24}},{{JPN}}
female,佐藤 欣子,さとう きんこ,1390210,1934,,,,,,,,
female,三浦 布美子,みうら ふみこ,1409202,1941,,,,,,,,
female,三木 琴,みき こと,1489370,1848,,,,,,,,
female,山口 小喜美,やまぐち こきみ,1570479,,,,,,,,,
female,村山 たか,むらやま たか,1734083,1809,,,,,,,,
female,志賀 こず江,しが こずえ,2249294,1948,,,,弁護士,慶應義塾大学法学部卒,{{JPN}}・東京都,{{生年月日と年齢|1948|11|23}},
female,大森 礼子,おおもり れいこ,2400644,1949,,,,,,,,
female,神田 あおい,かんだ あおい,2469590,,,,,,,,,
female,福島 ヨネ,ふくしま よね,5173660,1891,,,,,,,,
female,仙石 綾香,せんごく あやか,5066098,,,,,{{hlist-comma|芸者|女優|経営者|インストラクター}},日本大学文理学部,{{JPN}} 宮城県多賀城市,,
female,蔦清小松 朝じ,つたきよこまつ あさじ,4871351,1894,,,,,,,,
female,玉 菊,たまがわや たまぎく,4817591,,,,,,,,,
female,原 浅,はら あさ,4455732,1871,,,,,,{{JPN}} 岩手県江刺郡岩谷堂町,1871年,
female,奥山 はつ子,おくやま はつこ,4396143,1910,,,,,,,,
female,丸山 嘉代,まるやま かよ,5077007,,,,,,,,,
female,石原 香代,いしはら かよ,4988033,1969,,,,,,,,
female,福原 あゆみ,ふくはら あゆみ,4949679,1984,,,,,,,,
female,峰 ひろみ,みね ひろみ,4844121,1965,,,,,,,,
female,山本 ヌイ,やまもと ぬい,4655889,,,,,,,,,
female,松下 裕子,まつした ひろこ,4606380,1968,,,,,,,,
female,天の夕 づる,てんの ゆうづる,4543496,1944,,,,,,,,
female,神田 織音,かんだ おりね,4492720,1972,,,,,,,,
female,一龍斎 貞寿,いちりゅうさい ていじゅ,4492707,,,,,,,,,
female,一龍斎 貞奈,いちりゅうさい ていな,4246119,,,,,,,,,
female,秋山 仁美,あきやま ひとみ,4108770,1960,,,,,,,,
female,河瀬 由美子,かわせ ゆみこ,4021036,1961,,,,,,,,
female,鈴木 真理子,すずき まりこ,4020292,1963,,,,,,,,
female,赤根 智子,あかね ともこ,3893641,1956,,,,,東京大学法学部卒業{{仮リンク|ジャクソンヴィル州立大学|en|Jacksonville State University}}刑事司法コース修了,{{JPN1947}} 愛知県名古屋市,{{生年月日と年齢|1956|06|28}},{{JPN}}
female,神田 阿久鯉,かんだ あぐり,3819107,,,,,,,,,
female,山本 真千子,やまもと まちこ,3782337,1963,,,,検察官,大阪市立大学法学部,{{Flagicon|JPN}} 兵庫県,{{生年月日と年齢|1963|10|9}},{{JPN}}
female,名妓 連,めいぎれん けい,3744485,1993,,,,,,,,
female,横尾 和子,よこお かずこ,339112,1941,,,,,,,,
female,福田 英子,ふくだ ひでこ,421881,1865,,,,,,,,
female,綿引 万里子,わたひき まりこ,1068211,1955,,,,,,,,
female,三代川 三千代,みよかわ みちよ,1218707,1949,,,,,,,,
female,あさみ 順子,あさみ じゅんこ,1219981,,,,,,,,,
female,長谷川 テル,はせがわ てる,1313003,1912,,,,,,,,
female,真山 知子,まやま ともこ,1474874,1941,,,,,,,,
female,林 きむ子,はやし きむこ,1506672,1884,,,,,,,,
female,堀田 くに,ほった くに,1853441,1890,,,,,,,,
female,吉田 舞,よしだ まい,1876519,,,,,,,,,
female,森 直子,もり なおこ,2347932,,,,,,,,,
female,東 小雪,ひがし こゆき,2720015,1985,,,,,,,,
female,二木 あい,ふたき あい,2756908,1980,,,,,,,,
female,藤真 知子,ふじ まちこ,2768491,,,,,,,,,
female,三淵 嘉子,みぶち よしこ,2931411,1914,,,,弁護士、判事,明治大学法学部,イギリス直轄植民地・シンガポール,{{生年月日と年齢|1914|11|13|no}},{{JPN}}
female,大西 京子,おおにし きょうこ,2958839,1924,,,,,,,,
female,多谷 千香子,たや ちかこ,2811305,1946,,,,,,,,
female,谷梅 処,たに ばいしょ,4224640,1843,,,,,,,,
female,花園 歌子,はなぞの うたこ,3019467,1906,,,,,,,,
female,森田 初恵,もりた はつえ,5037915,1982,,,,,,,,
female,犬飼 愛生,いぬかい あおい,4948227,1978,,,,,,,,
female,妹尾 みえ,せのお みえ,4907403,,,,,,,,,
female,藤木 美奈子,ふじき みなこ,4895069,1959,,,,,,,,
female,塩川 治子,しおかわ はるこ,4875574,1942,,,,作家、歌人,,東京都,{{生年月日と年齢|1942|12|10}},{{JPN}}
female,横田 典子,よこた のりこ,4873518,1969,,,,,,,,
female,広本 フサ,ひろもと フサ,4817044,1886,,,,,,,,
female,堀内 キン,ほりうち キン,4815318,1902,,,,,,,,
female,野村 ミチ,のむら ミチ,4686821,1875,,,,,,,,
female,早川 かい,はやかわ かい,4669967,1884,,,,社会福祉法人秋田婦人ホーム初代理事長,明治女学校,,1884年9月24日,{{JPN}}
female,保良 せき,ほら せき,4633354,1893,,,,厚生省看護課課長,東京慈恵医院看護婦教育所,,1893年5月15日,{{JPN}}
female,西巻 開耶,にしまき さくや,4602670,1866,,,,,,,,
female,橋浦 はる子,はしうら はるこ,4550650,1899,,,,,精華女学校、渡辺女学校,鳥取県岩美郡岩美町,{{生年月日と年齢|1899|1|4|no}},{{JPN}}
female,来栖 夏芽,くるす なつめ,4542745,,,,,,,,,
female,森廼 遊,もりの ゆう,4397132,1981,,,,現代美術,,{{JPN}}・東京都,1981年,
female,吉川 照美,よしかわ てるみ,4272261,1960,,,,,,,,
female,川畑 杏奈,かわばた あんな,4222585,1980,,,,,,,,
