,infobox
454,"{'bgcolour': '#6495ED', 'name': '高田 ケラー 有子', 'birthdate': '{{生年月日と年齢|1958|5|1}}', 'location': '{{JPN}}・大阪府大阪市', 'nationality': '{{JPN}}', 'field': '造形作家・染織家', 'training': '京都市立芸術大学大学院美術研究科修了', 'awards': '* 1984年 京都デザイン賞・京都デザインフォーラム * 1989年 優秀賞・金沢工芸大賞コンペティション * 1990年 優秀賞・京都工芸ビエンナーレ * 1992年 優秀賞・第２回京都工芸選抜展 * 1995年 ファーストプライズ・ ""White Nights"" II. International Textile Exhibition（ロシア） * 2004年 Frederiksborg県造形芸術賞2004（デンマーク）', 'website': '{{Cite web|title=Yuko Takada Keller Artist Page|url=https://www.yukotakada.com/|accessdate=2025年7月25日}}'}"
1392,"{'image': 'thumb|center|200px', 'caption': '（2016年10月2日）（棋士会みやぎ復興将棋フェスティバルにて）', '名前': '伊藤沙恵', '分類': '女流', '棋士番号': '52', '生年月日': '{{生年月日と年齢|1993|10|6}}', 'プロ年度': '2014年10月1日（20歳）', '出身地': '東京都武蔵野市', '所属': '関東', '師匠': '屋敷伸之九段', '段位': '女流四段', 'タイトル合計': '1期（女流名人 1期）', '作成日時': '2023年4月18日'}"
897,"{'name': '大松絵美', 'birth_name': '大松絵美（おおまつ えみ）', 'birth_date': '{{生年月日と年齢|1993|10|4}}', 'birth_place': '{{JPN}} 兵庫県豊岡市', 'origin': '兵庫県明石市', 'residence': '東京都', 'education': '立命館大学', 'occupation': 'YouTuber、女優、元お笑いタレント', 'height': '158cm', 'spouse': 'あだちくん（2025年 - ）', 'website': '[https://three-o.tokyo/ooo/emi-omatsu 公式プロフィール]', 'pseudonym': 'エミリン', 'channel_url': 'UCq3YtFr5JWvID4iK9HyrM3Q', 'channel_url2': 'UC4mHeilg6tg7a9qjEaXmeSA', 'channel_display_name': 'エミリンチャンネル', 'channel_display_name2': 'サブエミリンチャンネル', 'years_active': '2017年 -', 'genre': 'ブログ、コメディ', 'subscribers': 'メイン189万人サブ20.1万人', 'views': '17億3352万回', 'network': 'OOO EntertainmentTWIN PLANET（業務提携）', 'catchphrase(s)': 'エミリン エミリン エミリン エミリン エミリンチャンネル〜 さぁ始まるよ〜', 'silver_button': 'yes', 'silver_year': '2017', 'gold_button': 'yes', 'gold_year': '2020', 'stats_update': '{{dts|2025-12-8}}'}"
152,"{'名前': '安陪 恭加', '画像補正': 'yes', '背景色': 'singer', '出生名': '安陪 恭加', '別名': '恭加（2021年6月 - 2023年6月）', '出生': '{{生年月日と年齢|1997|7|17}}', '出身地': '{{JPN}}・福岡県福岡市', 'ジャンル': 'J-POP', '職業': 'ミュージシャン女優タレントモデル', '担当楽器': 'ボーカル', '活動期間': '2021年 - ミュージシャン、女優2014年 - タレント2011年 - 2014年 アイドル2002年 - モデル', 'レーベル': 'オフィス・タンゴ', '事務所': '[https://libertyprogr.com/ リバティプロ株式会社]', '共同作業者': '川又トオル', '公式サイト': '[https://kyoka.bitfan.id/ 恭加 Official site]'}"
1275,"{'名前': '中倉宏美', '分類': 'LPSA', '棋士番号': '12', '生年月日': '{{生年月日と年齢|1979|1|26}}', 'プロ年度': '{{年月日|year=1995|month=10|day=1}}（{{年数|1979|1|26|1995|10|1}}歳）', '出身地': '東京都府中市', '師匠': '堀口弘治七段', '段位': '女流二段', '作成日時': '2015年2月13日'}"
358,"{'name': '彩羽真矢', 'channels': '[https://www.youtube.com/c/mayaayahane 彩羽真矢][https://www.youtube.com/channel/UCw1TdQX4nrpqZHbt-gIOakA 彩羽真矢すっぴんチャンネル][https://www.youtube.com/@chamivlog444 彩羽真矢のあしあと]', 'years_active': '2013年 -', 'subscribers': '5.6万人', 'views': '3361万回{{Cite web|和書|title=Youtubeランキング 彩羽真矢 登録・再生数|url=https://yutura.net/channel/12047/|accessdate=2024-3-22}}', 'stats_update': '{{dts|2024-3-22}}'}"
76,"{'channel_display_name': 'みんなのあいす屋さん', 'channel_url': 'UCgIGAs4ajxKXhmjg7i_TaHw', 'years_active': '2025年 -', 'genre': 'エンターテイメントビデオブログ', 'subscribers': '12.4万人', 'views': '406万回', 'silver_button': 'yes', 'silver_year': '2025', 'gold_button': 'no', 'stats_update': '{{dts|2025-12-03}}'}"
246,"{'name': '川奈 まり子かわな まりこ', 'birth_date': '{{生年月日と年齢|1967|11|9}}', 'birth_place': '{{JPN}} 東京都世田谷区', 'occupation': '作家コラムニスト人権活動家元AV女優', 'period': '2011年 - （小説家として）', 'genre': 'ホラー・官能 他', 'notable_works': '『実話怪談出没地帯』『穢死』', 'spouse': '溜池ゴロー', 'debut_works': '『義母の艶香』（2011年）', 'group': '[http://www.avan.or.jp/ 一般社団法人表現者ネットワーク(AVAN)]代表理事'}"
1273,"{'名前': '石高澄恵', '旧姓': '横山', '分類': '女流', '棋士番号': '10', '生年月日': '{{生年月日と年齢|1966|9|27}}', 'プロ年度': '{{年月日|year=1987|month=3|day=1}}（{{年数|1966|9|27|1987|3|1}}歳）', '出身地': '北海道江差町', '所属': '関東', '師匠': '武者野勝巳七段', '段位': '女流三段', '作成日時': '2025年4月10日'}"
262,"{'氏名': '下田 歌子', 'ふりがな': 'しもだ うたこ', '画像': 'Utako Shimoda.jpg', '画像サイズ': '200px', '出生名': '平尾 鉐', '生年月日': '1854年9月29日', '生誕地': '{{JPN}} 美濃国恵那郡岩村（現在の岐阜県恵那市）', '没年月日': '{{死亡年月日と没年齢|1854|9|29|1936|10|8}}', '死没地': '東京市赤坂区青山北町', '墓地': '護国寺（東京都文京区）・ 大名墓地 (岐阜県恵那市)', '職業': '教育者', '著名な実績': '帝国婦人協会設立実践女学校設立'}"
1287,"{'名前': '竹部さゆり', '旧姓': '木村', '分類': '女流', '棋士番号': '19', '生年月日': '{{生年月日と年齢|1978|6|4}}', 'プロ年度': '{{年月日|year=1995|month=10|day=1}}（{{年数|1978|6|4|1995|10|1}}歳）', '出身地': '神奈川県逗子市', '所属': '関東', '師匠': '伊藤果八段', '段位': '女流四段', '作成日時': '2019年1月16日'}"
1118,"{'氏名': '三淵 嘉子', 'ふりがな': 'みぶち よしこ', '画像': 'Mibuchi Yoshiko circa 1938.jpg', '画像説明': '1938年（昭和13年）頃', '出生名': '{{ruby|武藤|むとう}} {{ruby|嘉子|よしこ}}', '生年月日': '{{生年月日と年齢|1914|11|13|no}}', '生誕地': 'イギリス直轄植民地・シンガポール', '没年月日': '{{死亡年月日と没年齢|1914|11|13|1984|5|28}}', '死没地': '東京都新宿区戸山国立病院医療センター{{Harv|追想のひと三淵嘉子|1985|pp=372-373|loc=おわかれ}}', '国籍': '{{JPN}}', '別名': '武藤 嘉子、 {{ruby|和田|わだ}} {{ruby|嘉子|よしこ}}', '出身校': '明治大学法学部', '職業': '弁護士、判事', '配偶者': '和田芳夫（1941年 - 1946年 死別） 三淵乾太郎（1956年 - 1984年 死別）', '子供': '和田芳武（長男）', '親': '武藤貞雄（父）武藤ノブ（母）', '親戚': '三淵震三郎、石渡多摩、石渡慎五郎、石渡敏一、反町茂作（後夫の親戚）', '家族': '{{plainlist| * 武藤一郎（長弟） * 武藤輝彦（次弟） * 武藤晟造（三弟） * 武藤泰夫（四弟）}}'}"
355,"{'name': '奥 幸代', 'background': 'classic', 'school_background': '大阪音楽大学短期大学部器楽専攻', 'origin': '{{JPN}} 大阪府堺市', 'instrument': 'ヴァイオリンヴィオラ', 'genre': 'クラシック', 'occupation': 'ヴァイオリニストヴィオリスト', 'url': '{{URL|www.viola-sachiyo.com}}'}"
199,"{'name': '内田光子', 'img_capt': '内田光子（2006）', 'background': 'classic', 'school_background': 'ウィーン音楽院', 'born': '{{生年月日と年齢|1948|12|20}}', 'origin': '{{JPN}}静岡県熱海市', 'instrument': 'ピアノ', 'genre': 'クラシック音楽', 'occupation': 'ピアニスト、指揮者', 'label': 'ユニバーサルミュージック', 'url': '[http://www.mitsukouchida.com/ Mitsuko Uchida]'}"
425,"{'氏名': '渋谷 黎子', 'ふりがな': 'しぶや れいこ', '画像': 'shibuya_reiko.jpg', '出生名': '池田 ムメ', '生年月日': '{{生年月日と年齢|1909|6|24|no}}', '生誕地': '福島県伊達郡粟野村', '没年月日': '{{死亡年月日と没年齢|1909|6|24|1934|9|16}}', '死没地': '埼玉県入間郡南畑村', '死因': '肋膜炎、腹膜炎', '墓地': '解放運動無名戦士墓（東京都青山霊園）密樹山如意輪寺金蔵院（埼玉県富士見市上南畑）', '住居': '福島県伊達郡粟野村→東京市杉並区阿佐ヶ谷→東京市外野方町→埼玉県北足立郡浦和町→埼玉県入間郡南畑村→埼玉県大里郡寄居町→福島県福島市土湯温泉町→埼玉県北足立郡志木町→埼玉県入間郡南畑村', '国籍': '{{JPN}}', '別名': '渋谷 ムメ土方 黎子長沼 朝', '出身校': '梁川町立実科高等女学校', '職業': '平凡社社員→農民運動家', '活動期間': '1929年 - 1933年', '団体': '全国農民組合埼玉県連合会', '著名な実績': '農民運動農村婦人の組織化', '影響を受けたもの': '渋谷定輔ローザ・ルクセンブルクアウグスト・ベーベルナデジダ・クルプスカヤ', '影響を与えたもの': '渋谷定輔', '活動拠点': '埼玉県北足立郡浦和町→埼玉県大里郡寄居町', '給料': '25円（平凡社）', '任期': '1930年 - 1931年', '政党': '労農党', '配偶者': '渋谷定輔'}"
757,"{'名前': '浅田好未', '生年月日': '{{生年月日と年齢|1979|8|26}}', '出身地': '{{JPN}}・神奈川県鎌倉市', '血液型': 'O型', '身長': '156cm', 'コンビ名': '元お笑い芸人パイレーツ', '相方': '西本はるか（1997年 - 2001年）宇恵さやか（2002年 - 2004年）', '芸風': 'コント（ボケ）', '立ち位置': '右→左（1999年以降）', '事務所': 'エスプリ（ルージュ系列） → ルージュ → アバンギャルド → NERU（アクセントプロ事業部）', '公式サイト': '[https://ameblo.jp/affection-party/ 浅田好未オフィシャルブログ『Affection』] [https://www.instagram.com/yoshimiasada/?hl=ja/ 浅田好未公式Instagram]', '受賞歴': '1997年 ミスヤングマガジン準グランプリ1998年 新語・流行語大賞受賞（「だっちゅーの」）1999年 ゴールデンアロー賞受賞2009年 シューズベストドレッサー賞受賞'}"
896,"{'名前': 'いかちゃん', '画像': '250px', 'キャプション': 'いかちゃん （2018年11月）', '本名': '伊ヶ﨑 恵（いかざき めぐみ）[https://twitter.com/kyoshouokano/status/820898481434869760 元巨匠岡野twitter 2017年1月15日]{{Cite web|和書|url=http://www.mic1978.com/micwp/archives/6173|title=テレビ出演のお知らせ【上野店】|publisher=革財布・革小物のお店[micミック]Shop Blog|date=2017-03-27|accessdate=2017-08-18}}', '生年月日': '{{生年月日と年齢|1996|1|3}}', '出身地': '{{JPN}}・山口県周南市', '血液型': 'B型', '身長': '160cm', '方言': '山口弁', '最終学歴': '中村女子高等学校調理科[https://www.facebook.com/people/%E4%BC%8A%E3%82%B1%E5%B4%8E%E6%81%B5/100005523495752 伊ヶ崎恵（いかちゃん）Facebook] より。[http://www.thepicta.com/media/1353510365291364947_2541334375 いかちゃんInstagram 2016年10月4日]', '出身': 'スクールJCA23期', 'コンビ名': 'イベリコ（解散）{{Cite web|和書|url=http://www.p-jinriki.com/news/2016/09/003215.php|title=【イベリコ】解散のお知らせ|publisher=プロダクション人力舎|date=2016-09-06|accessdate=2017-08-18}}', '相方': '前田明広（元相方）', '芸風': '漫談、歌ネタ・リズムネタ', '事務所': 'プロダクション人力舎', '活動時期': '2014年 - （ピンでの活動は2016年から）', '同期': 'アナクロニスティックなかよし肉体戦士ギガ ほか', '公式サイト': '[https://www.p-jinriki.com/talent/ikachan/ 公式プロフィール]'}"
960,"{'氏名': '小渕 志ち', 'ふりがな': 'おぶち しち', '画像': 'Obuchi Shichi 1913.jpg', '画像サイズ': '180px', '画像説明': '1913年の小渕志ち', '生年月日': '1847年11月9日', '生誕地': '上野国勢多郡石井村（現・群馬県前橋市）', '没年月日': '{{死亡年月日と没年齢|1847|11|09|1929|03|16}}', '死没地': '愛知県豊橋市', '国籍': '{{JPN}}', '職業': '実業家（製糸家）'}"
1373,"{'名前': '梅津美琴', '分類': '女流', '棋士番号': '80', '生年月日': '{{生年月日と年齢|2007|09|01}}', 'プロ年度': '{{年月日|year=2022|month=7|day=1}}（{{年数|2007|9|1|2022|07|01}}歳）', '出身地': '東京都文京区', '所属': '関東', '師匠': '戸辺誠', '段位': '女流初段', '作成日時': '2024年4月1日'}"
849,"{'コンビ名': '上海ドール', 'メンバー': 'オジョーことみ', '結成年': '2003年', '解散年': '2011年', '事務所': 'よしもとクリエイティブ・エージェンシー札幌支社→よしもとクリエイティブ・エージェンシー東京本社', '活動時期': '2003年 - 2011年', '出身': 'NSC東京校8期（オジョー）', '出会い': '札幌吉本のオーディション', '現在の活動状況': '解散', '芸種': '漫才', '過去の代表番組': 'ヌルマユ上海兄弟'}"
787,"{'名前': 'アンラッキー{{ruby|後藤|ごとう}}', '本名': '後藤 美葉（ごとう みよう）', '生年月日': '{{生年月日と年齢|1977|6|27}}', '出身地': '{{JPN}}・東京都目黒区', '血液型': 'A型', '身長': '158cm', '最終学歴': '武蔵工業大学（現：東京都市大学）', 'コンビ名': 'アンラッキー（解散）', '芸風': '漫談', '事務所': 'フリー→ズームリパブリック', '活動時期': '1994年 - 2001年2023年 -', '過去の代表番組': 'Mars TVUN FACTORY カボスケボキャブラ天国 など'}"
1334,"{'名前': '高群佐知子', '生年月日': '{{生年月日と年齢|1971|04|01}}', 'プロ年度': '{{年月日|year=1986|month=03|day=01}}（{{年数|1971|04|01|1986|03|01}}歳）', '引退年度': '{{年月日|year=2020|month=03|day=31}}（{{年数|1971|04|01|2020|03|31}}歳）', '分類': '女流', '棋士番号': '8', '出身地': '秋田県大曲市(現：大仙市)', '所属': '関東', '師匠': '滝誠一郎八段', '段位': '女流四段', '通算成績': '329勝317敗（646局） 勝率0.509', '作成日時': '2020年3月31日'}"
303,"{'氏名': '石田 美紀', 'ふりがな': 'いしだ みのり', '生年月日': '{{生年月日と年齢|1972}}', '生誕地': '{{JPN}}・京都府{{Cite book|和書 |editor=四方田犬彦 |title=李香蘭と東アジア |page=291 |year=2001 |publisher=東京大学出版会}}', '職業': '映画批評家、映画学者'}"
1281,"{'氏名': '尾澤 聖子', 'ふりがな': 'おざわ せいこ', '生誕地': '{{Flagicon|JPN}} 静岡県掛川市', '職業': '水上オートバイ選手'}"
348,"{'name': '青木涼子', 'background': 'classic', 'origin': '{{JPN}} 大分県', 'genre': 'クラシック（現代音楽）', 'occupation': '能声楽家', 'school_background': '東京藝術大学音楽学部邦楽科能楽専攻（観世流シテ方専攻） 東京藝術大学音楽研究科修士課程（観世流シテ方専攻）ロンドン大学東洋アフリカ学院博士課程', 'instrument': '声楽（謡）', 'url': 'https://ryokoaoki.net/'}"
47,"{'名前': 'AKB48', '画像': 'AKB48 Logo.svg', '画像サイズ': '220px', '画像説明': 'AKB48のロゴマーク', '背景色': 'group', '出身地': '{{JPN}}', 'ジャンル': 'J-POP', '活動期間': '2005年12月8日 -', 'レーベル': 'AKS（2006年 - ）DefSTAR Records（2006年10月 - 2008年6月）You, Be Cool!/KING RECORDS（2008年8月 - 2023年2月）EMI Records（2023年2月 - ）', '事務所': 'office48（2005年 - 2006年）AKS（2006年 - 2020年3月31日）DH（2020年4月1日 - ）（各メンバーの所属は所属事務所およびメンバーを参照）', '共同作業者': '秋元康（総合プロデューサー）AKB48グループ', '公式サイト': '[https://www.akb48.co.jp/ AKB48公式サイト]', 'メンバー': 'メンバーを参照', '旧メンバー': '元メンバーを参照'}"
588,"{'name': '有澤 一華', 'background': 'singer', 'alias': 'かちいわさりあ', 'nickname': '一華氏いちかしいっちゃんイッチャンいちかち', 'born': '{{生年月日と年齢|2003|12|23}}{{Cite web|和書|url=https://www.helloproject.com/juicejuice/profile/ichika_arisawa/|title=Juice=Juice 有澤一華プロフィール|work=ハロー!プロジェクト オフィシャルサイト|date=2021-07-07|accessdate=2021-07-07}}', 'blood': 'O型', 'origin': '{{JPN}} 大阪府{{R|arisawa-profile}}', 'genre': 'J-POP', 'occupation': '歌手、ヴァイオリニスト', 'years_active': '2020年 -', 'label': 'hachamaUP-FRONT WORKS', 'production': 'アップフロントプロモーション', 'associated_acts': 'ハロプロ研修生Juice=Juice', 'url': '[https://www.helloproject.com/juicejuice/profile/ichika_arisawa/ 有澤一華プロフィール]'}"
773,"{'名前': 'おばあちゃん', '本名': '沖原 タツヨ（おきはら たつよ）{{Cite web ja|url=https://www.tokyo-np.co.jp/article/272156|title=古希超えて 芸人の夢開花 波乱の半生「おばあちゃん」 言い訳したって仕方ない。生きてる今を楽しみたい|website=東京新聞|date=2023-08-24|accessdate=2023-11-18}}', '生年月日': '{{生年月日と年齢|1947|2|12}}[{{吉本プロフィール|10761}} おばあちゃん プロフィール] - 吉本興業株式会社', '出身地': '{{JPN}}・東京都国分寺市', '身長': '155&nbsp;cm', '芸風': '漫談{{Cite press release ja|url=https://prtimes.jp/main/html/rd/p/000002229.000029501.html|title=76才、芸歴5年目の吉本興業所属のお笑い芸人「おばあちゃん」神保町よしもと漫才劇場 最高齢で初所属決定!!|publisher=吉本興業株式会社|date=2023-06-14|accessdate=2023-07-06}}', '最終学歴': '放送大学 卒業', '事務所': '吉本興業（2019年 - ）', '活動時期': '2019年 - {{Cite web ja|url=https://natalie.mu/owarai/news/528628|title=神保町よしもと漫才劇場に最高齢76歳で所属、芸歴5年目のピン芸人おばあちゃん|website=お笑いナタリー|date=2023-06-14|accessdate=2023-06-14}}', '出身': 'NSC東京校24期', '同期': 'そのこ金魚番長小虎 など', '配偶者': '既婚（1971年頃 - ）', '公式サイト': '[{{吉本プロフィール|10761}} 公式プロフィール]'}"
538,"{'氏名': '斎藤 きち', 'ふりがな': 'さいとう きち', 'other_names': '唐人お吉 とうじんおきち', '生年月日': '1841年（天保12年）', '生誕地': '{{JPN}} 伊豆国賀茂郡下田坂下町（現在の静岡県下田市）', '没年月日': '1890年3月27日 （満48歳没）', '死没地': '{{JPN}} 静岡県下田市稲生沢川', '職業': '洗濯婦「老母きは並にきちは、差し向き渡世も御座なく、上方筋廻船・上下当港滞船の船頭ども衣類、そのほか洗濯等いたし、今日営み居り候…」『安政四巳年七月十日 嘆願書』（吉田常吉『唐人お吉』1983年、85頁。）、酌婦下田奉行の上申書に「内実船方等酒の相手に雇われ罷り出で候女」（『堀田正睦外国掛中書類』『合原猪三郎筆記』）とある（吉田常吉『唐人お吉』1983年、116-117頁。）。、芸妓、髪結、小料理屋店主', '配偶者': '鶴松 のちに改名して川井又五郎1874年（明治7年）に離別', '家族': '実父：市兵衛実母：きわ実姉：もと実弟：惣五郎'}"
1314,"{'名前': '中 七海', '分類': '女流', '棋士番号': '91', '所属': '関西', '段位': '女流三段', '生年月日': '1998年{{月日|08|07|on}}（{{年数|1998|08|07}}歳）', 'プロ年度': '{{将棋年度|2024|2024年}}{{月日|11|01|on}}（{{年数|1998|08|07|2024|11|01}}歳）', '出身地': '兵庫県', '師匠': '井上慶太', '作成日時': '2024年11月1日'}"
785,"{'名前': 'ウメ', '本名': '大久保 雅子（おおくぼ まさこ）', 'ニックネーム': 'ウメちゃん', '生年月日': '{{生年月日と年齢|1979|1|6}}', '出身地': '{{JPN}} 鹿児島県', '血液型': 'A型', '身長': '151cm', '方言': '共通語、鹿児島弁', '最終学歴': '鹿児島短期大学', '出身': 'NSC東京校7期', '芸風': 'めくり芸、コント', '事務所': 'フリー→SMA NEET Project→フリー→ラフィーネプロモーション', '活動時期': '2002年 -', '同期': 'もう中学生こがけん（おいでやすこが）LLR新道竜巳（馬鹿よ貴方は）銀座ポップなど', '公式サイト': '[https://laugh-iine.com/talent/belongs/ume/ 公式プロフィール]', '受賞歴': '2007年 R-1ぐらんぷり 決勝7位2011年 山-1グランプリ 優勝2016年 第4回喚き-1グランプリ 優勝'}"
286,"{'氏名': '赤石 千衣子', 'ふりがな': 'あかいし ちえこ', '画像': 'Chieko Akaishi NWEC.png', '画像サイズ': '220px', '画像説明': '国立女性教育会館より公表された肖像', '生年月日': '1955年', '生誕地': '{{JPN}} 東京都', '職業': '社会福祉運動家、社会福祉士、キャリア・コンサルタント、著作家', '出身校': '東京大学'}"
1376,"{'名前': '内山あや', '分類': '女流', '棋士番号': '71', '生年月日': '{{生年月日と年齢|2004|5|22}}', 'プロ年度': '{{年月日|year=2020|month=12|day=1}}（16歳）', '出身地': '{{GBR}}・{{nowrap|ベルファスト市}}', '所属': '関東', '師匠': '北島忠雄', '段位': '女流初段', '作成日時': '2023年3月9日'}"
795,"{'名前': '大村 小町', '画像': '250px', '本名': '柳谷 真澄', '生年月日': '{{生年月日と年齢|1978|10|18}}', '出身地': '{{JPN}}・秋田県能代市', '血液型': 'B型', '身長': '164cm', '方言': '秋田弁', '芸風': '漫談', '事務所': '株式会社ミューズ', '過去の代表番組': 'オンバト＋', '公式サイト': '[https://web.archive.org/web/20090109023009/http://blog.oricon.co.jp/komachi/ 大村小町のご案内。]'}"
898,"{'名前': '柏崎 桃子', '本名': '同じ', 'ニックネーム': 'ももち', '生年月日': '{{生年月日と年齢|1979|7|31}}', '血液型': 'A型', '身長': '165cm', '最終学歴': '作新学院高等学校美術デザイン科中退', '出身': '栃木県真岡市', '事務所': 'SHUプロモーション', '活動時期': '2014年 -', '公式サイト': '[https://shu-pro.co.jp/talent/%e6%9f%8f%e5%b4%8e%e6%a1%83%e5%ad%90/ SHUプロモーションHP]'}"
1371,"{'名前': '磯谷祐維', '分類': 'LPSA', '棋士番号': '23', '生年月日': '2003年{{月日|01|15|on}}（{{年数|2003|01|15}}歳）', 'プロ年度': '{{将棋年度|2023|2023年}}{{月日|09|01|on}}（{{年数|2003|01|15|2023|09|01}}歳）', '出身地': '岐阜県各務原市', '所属': '日本女子プロ将棋協会', '師匠': '山崎隆之九段', '段位': '女流初段', '優勝回数': '1', '作成日時': '2024年1月3日'}"
571,"{'name': '有安 杏果', 'background': 'singer', 'school_background': '日本大学藝術学部写真学科卒業', 'born': '{{生年月日と年齢|1995|3|15}}{{JPN}} 京都府', 'origin': '{{JPN}} 埼玉県富士見市', 'instrument': 'ボーカルギタードラムスキーボードサクソフォーン', 'genre': 'J-POP、ジャズ、写真家', 'years_active': '1995年 - 2008年2009年 - 2018年2019年 -', 'production': 'キャロット（1995年 - 2008年）スターダストプロモーション（2008年 - 2018年）アプリコット（2019年 - ）', 'blood': 'A型', 'module': '{{Infobox |child = yes |label1 = 備考 |data1=■有安杏果（2018年1月21日まで）■百田夏菜子■玉井詩織■佐々木彩夏■高城れに--> }}', 'spouse': 'あり（2019年 - ）'}"
397,"{'氏名': '名取 マサ', 'ふりがな': 'なとり マサ', '生年月日': '1889年6月1日', '生誕地': '北海道札幌区', '没年月日': '{{死亡年月日と没年齢|1889|6|1|1971|4|17}}', '記念碑': '名取マサ女史之像', '住居': '北海道富良野町', '国籍': '{{JPN}}', '出身校': '札幌区百百裁縫女学校', '職業': '富良野国の子寮 寮長', '活動期間': '1945年 - 1971年', '団体': '財団法人 北海道婦人共立愛子会', '著名な実績': '戦災孤児の救済', '活動拠点': '北海道富良野町→富良野市', '受賞': '上川支庁社会福祉協議会表彰（1955年）全国社会福祉協議会表彰（1961年）勲五等宝冠章（1967年）'}"
431,"{'氏名': '鈴木 セイ', 'ふりがな': 'すずき セイ', '生年月日': '{{生年月日と年齢|1912|3|30|no}}', '生誕地': '群馬県桐生市境野町', '没年月日': '{{死亡年月日と没年齢|1912|3|30|2013|1|23}}', '住居': '群馬県桐生市境野町→ 群馬県高崎市榛名山町', '国籍': '{{JPN}}', '活動拠点': '群馬県高崎市榛名山町', '受賞': '吉川英治文化賞（1976年）'}"
705,"{'name': '生田 衣梨奈', 'background': 'singer', 'nickname': ""えりぽん{{Cite web|和書| archivedate=2025-07-02 | archiveurl=https://web.archive.org/web/20250702120700/https://www.helloproject.com/morningmusume/profile/erina_ikuta/ | date=2017-12-26 | url=https://www.helloproject.com/morningmusume/profile/erina_ikuta/ | title=モーニング娘。'25 生田衣梨奈プロフィール | work=ハロー!プロジェクト オフィシャルサイト | accessdate=2025-07-08 |url-status=dead|url-status-date=2025-07}}"", 'born': '{{生年月日と年齢|1997|7|7}}', 'blood': 'A型', 'origin': ""{{JPN}} 福岡県福岡市{{Cite web|和書|author=生田衣梨奈 |date=2022-05-06 |url=https://ameblo.jp/morningmusume-9ki/entry-12741367764.html |title=明日。生田衣梨奈 |work=モーニング娘。'22 Q期オフィシャルブログ |accessdate=2023-01-11}}"", 'genre': 'J-POP', 'occupation': '歌手', 'years_active': '2011年 -', 'label': 'zetima', 'production': 'アップフロントプロモーション', 'associated_acts': 'モーニング娘。', 'url': '[https://x.com/ikuta_erina0707 生田衣梨奈] - X[https://www.instagram.com/erina_ikuta.official/ 生田衣梨奈] - Instagram', 'img': '161006 AMN 빅 콘서트 - 마키노 마리아 모닝구무스메 메들리 직캠 (Erina Ikuta) by DaftTaengk 3m31s.jpg'}"
408,"{'氏名': '五ノ井 里奈', 'ふりがな': 'ごのい りな', '画像': 'Rina Gonoi - IWOC 2024 (53568198184) (cropped).jpg', '生年月日': '{{生年月日と年齢|1999|09|29}}', '生誕地': '宮城県石巻市', '国籍': '{{JPN}}', '職業': '柔道指導者', '著名な実績': '陸上自衛隊勤務当時の性暴力被害告発', '代表作': '『声をあげて』'}"
1180,"{'分類': '女流', '名前': '石橋幸緒', '生年月日': '{{生年月日と年齢|1980|11|25}}', 'プロ年度': '{{年月日|year=1993|month=10|day=1}}（{{年数|1980|11|25|1993|10|1}}歳）', '引退年度': '{{年月日|year=2014|month=1|day=31}}（{{年数|1980|11|25|2014|1|31}}歳）', '出身地': '東京都小金井市', '所属': '日本将棋連盟（関東）→日本女子プロ将棋協会（退会）', '師匠': '清水市代', '段位': '{{sup|元}}女流四段(退会)', 'タイトル合計': '3期女流王将1期女流王位2期', '通算成績': '女流通算 359勝199敗(勝率{{勝率|359|199|record=n}})2013年度の将棋界#年度成績一覧', '優勝回数': '5回', '作成日時': '2020年6月17日'}"
1265,"{'名前': '野田澤彩乃', '分類': '女流', '棋士番号': '24', '生年月日': '{{生年月日と年齢|1984|1|25}}', 'プロ年度': '{{年月日|year=1999|month=10|day=1}}（{{年数|1984|1|25|1999|10|1}}歳）', '引退年度': '{{年月日|year=2020|month=3|day=31}}（{{年数|1984|1|25|2020|3|31}}歳）', '出身地': '埼玉県川越市', '所属': '関東', '師匠': '伊藤果八段', '段位': '女流初段', '通算成績': '対局数189局 / 56勝133敗 / 勝率0.296', '作成日時': '2020年4月1日'}"
593,"{'名前': '{{Ruby|荒井|あらい}} {{Ruby|優希|ゆき}}  Yuki Arai', '画像': '荒井優希2024.jpg', '画像説明': '2024年8月 後楽園ホール', 'リングネーム': '荒井 優希', '本名': '荒井 優希', 'ニックネーム': ""GENIUS GIRL{{Cite video|date= 2022-02-11 |title= 【無料見逃し配信】東京女子プロレス 2.11 後楽園ホール大会「 Positive Chain '22」 |url= https://m.youtube.com/watch?v=OhQK8zpdJfs |time= 1:22:35 - 40 |medium=YouTube |language=ja |publisher= 東京女子プロレスofficial - TJPW |accessdate= 2024-11-27 }}"", '身長': '167cm', '誕生日': '{{生年月日と年齢|1998|5|7}}', '出身地': '京都府', '所属': 'ゼストゼストの公式プロフィールや東京女子プロレス公式サイトの選手紹介では、「所属：東京女子プロレス」とされている。', 'トレーナー': '山下実優', 'デビュー': '2021年5月4日対伊藤麻希&遠藤有栖戦（パートナーは渡辺未詩）'}"
